JobID|JobName|Partition|AllocCPUS|AllocNodes|NCPUS|NNodes|MaxRSS|State|Elapsed
12098571_43.batch|batch||4|1|4|1|231784K|COMPLETED|00:08:29
12098571_44|render_blender|plgrid|4|1|4|1||COMPLETED|00:08:43
12098571_44.batch|batch||4|1|4|1|234380K|COMPLETED|00:08:43
12098571_45|render_blender|plgrid|4|1|4|1||COMPLETED|00:09:10
12098571_45.batch|batch||4|1|4|1|229200K|COMPLETED|00:09:10
12098571_46|render_blender|plgrid|4|1|4|1||COMPLETED|00:09:49
12098571_46.batch|batch||4|1|4|1|232292K|COMPLETED|00:09:49
12098571_47|render_blender|plgrid|4|1|4|1||COMPLETED|00:10:48
12098571_47.batch|batch||4|1|4|1|231832K|COMPLETED|00:10:48
12098571_48|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:10
12098571_48.batch|batch||4|1|4|1|221476K|COMPLETED|00:12:10
12098571_49|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:06
12098571_49.batch|batch||4|1|4|1|236136K|COMPLETED|00:12:06
12098571_50|render_blender|plgrid|4|1|4|1||COMPLETED|00:11:07
12098571_50.batch|batch||4|1|4|1|231276K|COMPLETED|00:11:07
12098571_51|render_blender|plgrid|4|1|4|1||COMPLETED|00:11:35
12098571_51.batch|batch||4|1|4|1|257912K|COMPLETED|00:11:35
12098571_52|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:20
12098571_52.batch|batch||4|1|4|1|237332K|COMPLETED|00:13:20
12098571_53|render_blender|plgrid|4|1|4|1||COMPLETED|00:11:45
12098571_53.batch|batch||4|1|4|1|233924K|COMPLETED|00:11:45
12098571_54|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:17
12098571_54.batch|batch||4|1|4|1|234412K|COMPLETED|00:12:17
12098571_55|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:00
12098571_55.batch|batch||4|1|4|1|229020K|COMPLETED|00:14:00
12098571_56|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:59
12098571_56.batch|batch||4|1|4|1|234684K|COMPLETED|00:13:59
12098571_57|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:02
12098571_57.batch|batch||4|1|4|1|290008K|COMPLETED|00:14:02
12098571_58|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:24
12098571_58.batch|batch||4|1|4|1|229328K|COMPLETED|00:13:24
12098571_59|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:44
12098571_59.batch|batch||4|1|4|1|237296K|COMPLETED|00:12:44
12098571_60|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:48
12098571_60.batch|batch||4|1|4|1|234488K|COMPLETED|00:14:48
12098571_61|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:50
12098571_61.batch|batch||4|1|4|1|236028K|COMPLETED|00:13:50
12098571_62|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:27
12098571_62.batch|batch||4|1|4|1|232116K|COMPLETED|00:13:27
12098571_63|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:48
12098571_63.batch|batch||4|1|4|1|250340K|COMPLETED|00:14:48
12098571_64|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:45
12098571_64.batch|batch||4|1|4|1|252984K|COMPLETED|00:12:45
12098571_65|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:37
12098571_65.batch|batch||4|1|4|1|261004K|COMPLETED|00:12:37
12098571_66|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:43
12098571_66.batch|batch||4|1|4|1|259676K|COMPLETED|00:12:43
12098571_67|render_blender|plgrid|4|1|4|1||COMPLETED|00:15:10
12098571_67.batch|batch||4|1|4|1|184932K|COMPLETED|00:15:10
12098571_68|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:43
12098571_68.batch|batch||4|1|4|1|182808K|COMPLETED|00:14:43
12098571_69|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:50
12098571_69.batch|batch||4|1|4|1|233900K|COMPLETED|00:13:50
12098571_70|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:24
12098571_70.batch|batch||4|1|4|1|233348K|COMPLETED|00:14:24
12098571_71|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:23
12098571_71.batch|batch||4|1|4|1|233428K|COMPLETED|00:14:23
12098571_72|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:03
